reaction_id,COMPOUND__n_ref,COMPOUND__n_inf,COMPOUND__n_removal,COMPOUND__n_addition,COMPOUND__n_alteration_strict,COMPOUND__n_alteration_nonstrict,COMPOUND__n_intact_strict,COMPOUND__n_intact_nonstrict,PRODUCT_COMPOUND__n_ref,PRODUCT_COMPOUND__n_inf,PRODUCT_COMPOUND__n_removal,PRODUCT_COMPOUND__n_addition,PRODUCT_COMPOUND__n_alteration_strict,PRODUCT_COMPOUND__n_alteration_nonstrict,PRODUCT_COMPOUND__n_intact_strict,PRODUCT_COMPOUND__n_intact_nonstrict,REACTION_CONDITIONS__n_ref,REACTION_CONDITIONS__n_inf,REACTION_CONDITIONS__n_removal,REACTION_CONDITIONS__n_addition,REACTION_CONDITIONS__n_alteration_strict,REACTION_CONDITIONS__n_alteration_nonstrict,REACTION_CONDITIONS__n_intact_strict,REACTION_CONDITIONS__n_intact_nonstrict,REACTION_WORKUP__n_ref,REACTION_WORKUP__n_inf,REACTION_WORKUP__n_removal,REACTION_WORKUP__n_addition,REACTION_WORKUP__n_alteration_strict,REACTION_WORKUP__n_alteration_nonstrict,REACTION_WORKUP__n_intact_strict,REACTION_WORKUP__n_intact_nonstrict
ord-9cdaa105425747e7bbe695df514f3008,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,4,1,0,2,2,2,2
ord-8e76933a6c3c47728e4ba75d7f02f53c,5,5,0,0,1,0,4,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,10,10,0,0,0,0,10,10
ord-3b235bc7739d417cb7bb5a86fb37d370,4,5,0,1,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,6,1,0,2,2,4,4
ord-b3ffc18d49bf4f499a1faad5b2c51390,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-0c34ea2679e5403b99330f3e14893949,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-933cca01cc9e4f7fa1f9f6d1ee5b1935,4,4,0,0,1,0,3,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-34d3c4a23f6940a69f4d288b69ba76b6,5,5,0,0,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-08e5f1a4dd1e496d9745d467fb7e7697,3,2,1,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-fd6ec49b771345388e5b20cdd6d2dea8,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-b3eabd096e3a4bc1a6e1faee5c0aa745,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-264ef697ae244f0689d4f6d96cb2ccbc,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,7,0,0,1,1,6,6
ord-97280592d2604e50b56ec5c70dc397a0,3,3,0,0,0,0,3,3,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-00932948f0fe4086aff20bd266b58d45,4,4,0,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-0cd81237d9b74d3fa6520ab866114c0e,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-63f0661d01124467bb2a0de32b7b8a41,6,6,0,0,2,1,4,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,6,0,1,0,0,5,5
ord-d7e9101e9202414aa9e25230fd009e94,5,5,0,0,1,0,4,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,4,1,0,1,1,3,3
ord-1b463acdbff24f7889c91d8efc5c7508,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-31aaa849f08442d3ad7bbae4172b5941,5,5,0,0,1,1,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-f67684f9f97940a5abcdcacea1dd932a,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-48641ab90953477486fe92eb7164390e,6,5,1,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
