reference_role,inference_role,reference_name,inference_name
REACTANT,REACTANT,hydrazide,hydrazide
REACTANT,REACTANT,(R)-2-(4fluorophenyl)-4-hydroxybutanoic acid,(R)-2-(4fluorophenyl)-4-hydroxybutanoic acid
REACTANT,REACTANT,sodium nitrite,sodium nitrite
SOLVENT,SOLVENT,H2SO4,H2SO4
REACTANT,SOLVENT,Tributylborate,Tributylborate
REACTANT,REACTANT,N-Butyl lithium,N-Butyl lithium
REACTANT,REACTANT,hexane,hexane
REACTANT,REACTANT,"4-Bromo-2,6-dimethylanisole","4-Bromo-2,6-dimethylanisole"
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
SOLVENT,SOLVENT,methanol,methanol
REACTANT,REACTANT,benzaldehyde,benzaldehyde
REACTANT,REACTANT,boron tribromide,boron tribromide
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,ammonium formate,ammonium formate
REACTANT,REACTANT,"(R)-tert-butyl 2-(1′-benzyl-1-((R)-5-methyl-6,7-dihydro-5H-cyclopenta[d]pyrimidin-4-yl)spiro[indoline-3,4′-piperidine]-4-yl)pyrrolidine-1-carboxylate","(R)-tert-butyl 2-(1′-benzyl-1-((R)-5-methyl-6,7-dihydro-5H-cyclopenta[d]pyrimidin-4-yl)spiro[indoline-3,4′-piperidine]-4-yl)pyrrolidine-1-carboxylate"
CATALYST,CATALYST,palladium on carbon,palladium on carbon
SOLVENT,SOLVENT,MeOH,MeOH
REACTANT,REACTANT,"3-(3-ethynylphenyl)-2-(2,4,6-trifluorobenzyl)-7-(trifluoromethyl)-2H-indazole","3-(3-ethynylphenyl)-2-(2,4,6-trifluorobenzyl)-7-(trifluoromethyl)-2H-indazole"
REACTANT,REACTANT,ethyl 3-iodobenzoate,ethyl 3-iodobenzoate
REACTANT,CATALYST,tris-(dibenzylidineacetone)-dipalladium,tris-(dibenzylidineacetone)-dipalladium
CATALYST,CATALYST,tetrabutylammonium acetate,tetrabutylammonium acetate
SOLVENT,SOLVENT,DMF,DMF
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,"6-chloro-N,N-dimethyl-3-phenyl-3 -hexenylamine hydrochloride","6-chloro-N,N-dimethyl-3-phenyl-3 -hexenylamine hydrochloride"
CATALYST,CATALYST,palladium on carbon,palladium on carbon
REACTANT,COMPOUND_MISSING,hygroscopic solid,COMPOUND_MISSING
REACTANT,REACTANT,"7-chloro-8-cyano-1-cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid","7-chloro-8-cyano-1-cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid"
REACTANT,REACTANT,"(1S,6S)-2,8-diazabicyclo[4.3.0]nonane","(1S,6S)-2,8-diazabicyclo[4.3.0]nonane"
REACTANT,REACTANT,"1,4-diazabicyclo[2.2.2]octane","1,4-diazabicyclo[2.2.2]octane"
SOLVENT,SOLVENT,dimethylformamide,dimethylformamide
SOLVENT,SOLVENT,acetonitrile,acetonitrile
REACTANT,REACTANT,difluoro-ethanol,difluoro-ethanol
REACTANT,REACTANT,product,product
SOLVENT,SOLVENT,chloroform,chloroform
REACTANT,REACTANT,"3-acetyl-1,4,5,6-tetrahydropyridine","3-acetyl-1,4,5,6-tetrahydropyridine"
REACTANT,REACTANT,benzoyl chloride,benzoyl chloride
REACTANT,REACTANT,Trifluoroacetic acid,Trifluoroacetic acid
REACTANT,REACTANT,"(R)-t-butoxycarbonylamino-[4′-(1-{4-[3-(t-butyldimethyl-silanyloxy)-4,4-dimethyl-pentyl]-3-methyl-phenyl}-1-ethyl-propyl)-2′-methyl-biphenyl-4-yl]-acetic acid methyl ester","(R)-t-butoxycarbonylamino-[4′-(1-{4-[3-(t-butyldimethyl-silanyloxy)-4,4-dimethyl-pentyl]-3-methyl-phenyl}-1-ethyl-propyl)-2′-methyl-biphenyl-4-yl]-acetic acid methyl ester"
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,2-chloro-7-methoxyquinazoline,2-chloro-7-methoxyquinazoline
SOLVENT,SOLVENT,DCM,DCM
REACTANT,REACTANT,ethanthiol,ethanthiol
REACTANT,REACTANT,AlCl3,AlCl3
SOLVENT,SOLVENT,DCM,DCM
REACTANT,REACTANT,Tributyltin azide,Tributyltin azide
REACTANT,REACTANT,"3,5-bis(benzyloxy)-N-(5-cyanopyridin-2-yl)benzamide","3,5-bis(benzyloxy)-N-(5-cyanopyridin-2-yl)benzamide"
SOLVENT,SOLVENT,toluene,toluene
REACTANT,REACTANT,1-methyl-2-[N-[4-(N-n-hexyloxycarbonylamidino)phenyl]amino methyl]benzimidazol-5-yl-carboxylicacid-N-(2-pyridyl)-N-(2-ethoxycarbonylethyl) amide,1-methyl-2-[N-[4-(N-n-hexyloxycarbonylamidino)phenyl]amino methyl]benzimidazol-5-yl-carboxylicacid-N-(2-pyridyl)-N-(2-ethoxycarbonylethyl) amide
SOLVENT,SOLVENT,acetone,acetone
REACTANT,REACTANT,methane sulfonic acid,methane sulfonic acid
SOLVENT,SOLVENT,acetone,acetone
SOLVENT,SOLVENT,methylene chloride,methylene chloride
REACTANT,REACTANT,"2-[2-fluoro-4-[(5R)-5-(hydroxymethyl)-2-oxo-3-oxazolidinyl]phenyl]-hexahydro-1H-spiro[cyclopenta[c]pyrrol-5,2′-[1,3]dioxolane]","2-[2-fluoro-4-[(5R)-5-(hydroxymethyl)-2-oxo-3-oxazolidinyl]phenyl]-hexahydro-1H-spiro[cyclopenta[c]pyrrol-5,2′-[1,3]dioxolane]"
REACTANT,REACTANT,triethylamine,triethylamine
SOLVENT,SOLVENT,methylene chloride,methylene chloride
REACTANT,REACTANT,methansulfonyl chloride,methansulfonyl chloride
REACTANT,REACTANT,chromic acid,chromic acid
SOLVENT,SOLVENT,pyridine,pyridine
SOLVENT,REACTANT,pyridine,pyridine
